PUB_ID,RADEG,DECDEG,PAH6.2flx,PAH7.7flx,PAH8.3flx,PAH8.6flx,PAH11.3flx,PAH12.0flx,PAH12.7flx,PAH17.0flx,Halpha,OIII,SII,IRAC3,PACS100,SPIRE250,SPIRE350,SPIRE500,Dust_luminosity,Dust_mass,SFR,Stellar_mass,TIR,Total_gas_mass,RHI,X12plogOH
Region 1,10.3767083333333,40.7188333333333,7.98334792810634e-19,2.50748634383975e-18,3.03243031929604e-19,3.30576941606301e-19,7.83291434236347e-19,2.14393194688642e-19,3.5910900265018e-19,3.88524063506483e-19,5.3670675542498e-19,1.08748735583745e-17,5.56051038002367e-18,6.48351242818937e-18,1.67037696072584e-17,1.54932549618128e-16,5.64995826983281e-17,3.95497078888297e-17,8935.87196683866,82.2306936392807,2.72918636713097e-08,1540.35821018987,1.16434532633665e+36,1898.27166504543,0.000906525466904444,0.00611763588748843
Region 2,11.3452083333333,41.6480833333333,7.32356289252198e-19,2.47375869492013e-18,2.1741450221495e-19,4.65293554425581e-19,7.51087701041884e-19,1.54138258172081e-19,3.41574769122063e-19,3.38173148165087e-19,3.75790383498206e-19,2.84872018267386e-17,5.20897267266185e-17,8.51646636673421e-18,1.36609519605133e-17,1.19021819517287e-16,4.07061030397973e-17,2.84942721278581e-17,6815.47916165085,48.4501420685268,2.75479577166088e-08,1933.19953886325,1.03404936807677e+36,262.762687841191,0.000534122094014666,0.00603119103255653
Region 3,10.1557083333333,41.0248333333333,5.70550304053184e-19,2.51067491349184e-18,4.79917673735474e-19,1.66404519570203e-19,4.3740857587122e-19,1.36210131670489e-19,3.01909605215609e-19,2.87469124608707e-19,8.64408073760404e-19,9.41576051946713e-17,1.7841898786364e-16,7.81727822598576e-18,8.26494127112079e-18,7.51099207681662e-17,2.36450328901925e-17,1.65515230231347e-17,4834.78714137306,25.1720879990523,2.20623283709714e-08,1927.37283877451,8.19278278066852e+35,1351.33344878516,-0.000246173035989898,0.00570099719137314
Region 4,10.3244166666667,41.1193888888889,3.58932592955242e-19,1.33797932974769e-18,1.69431124223763e-19,2.62748743848077e-19,4.51127942016534e-19,7.86338284933907e-20,1.99429920638808e-19,2.80321049266046e-19,6.3945094704185e-19,8.54800770359912e-18,4.88335218983163e-17,1.01324439823951e-17,1.20837301700696e-17,8.3491640756021e-17,2.62773587177322e-17,1.83941511024125e-17,4819.26264330042,25.9087202230358,1.77704121921834e-08,4161.51633641681,8.18888384319201e+35,380.372826105433,0.000205217410909841,0.00572676441031719
Region 5,10.914875,41.3175277777778,1.48856634205151e-19,4.93519939301866e-19,7.24342326360042e-20,1.28676632081306e-19,2.79065797327862e-19,5.36750979155084e-20,1.37822946971079e-19,2.06985693191934e-19,1.21871741003536e-18,1.4992491379704e-16,2.7209347836623e-16,8.74266449574854e-18,8.63788778309762e-18,5.29663611814429e-17,1.52774321869401e-17,1.06942025308581e-17,3513.55943234343,13.8820757420056,1.52859123701761e-08,4246.51095966568,6.37311807791552e+35,606.1411561895,0.000337407070076976,0.00557821684459075
Region 6,10.8988333333333,41.3875,1.621879019675E-19,4.98674624592062e-19,6.35671626644341e-20,7.9397952582106e-20,2.40713655831442e-19,4.18874364146085e-20,1.00924494307914e-19,1.86404392293913e-19,1.67713595042464e-18,1.8434301446462e-16,3.43803177899155e-16,1.28342756073986e-17,1.73754476084067e-17,7.917792389298E-17,2.25322340109867e-17,1.57725638076907e-17,5082.31384499832,21.5255344568493,2.79505480260592e-08,7017.24321650112,1.11592702154663e+36,1073.04811539146,0.000215977365885534,0.0055371617764585
Region 7,10.2249166666667,40.9830277777778,4.01143955010436e-19,1.28533784566462e-18,1.93388956169961e-19,2.90443679301193e-19,4.95213861948816e-19,1.18389787162772e-19,2.39548865717151e-19,3.02934686384855e-19,7.70883389639954e-19,1.07147002333309e-17,4.23154546376037e-17,8.35506439238197e-18,1.6673981630429e-17,7.41053031471555e-17,2.57498219034558e-17,1.80248753324191e-17,5580.37981390857,23.2992500604237,1.750800609071E-08,3003.30239119792,8.53502923183491e+35,164.640340945714,-7.72165640562381e-05,0.00541111597825247
Region 8,10.59,41.1215,6.08916230771213e-20,1.40819227355429e-19,6.01291195341287e-20,6.12089270530032e-20,1.00926747559279e-19,1.58697982426757e-19,3.17302043340462e-19,9.39536926594873e-20,1.57786217915081e-18,2.34865285847087e-16,4.05257756131918e-16,1.40185289607345e-17,1.13103860570811e-17,5.07531867719131e-17,1.67508256807106e-17,1.17255779764974e-17,5679.04893924272,12.2211661991881,1.56344873495789e-08,13331.9706769048,6.79776887278187e+35,1023.9426339136,0.000373778470268897,0.00575897343399727
Region 9,10.25,40.6056388888889,8.54407847166724e-19,2.77204129205663e-18,5.53547652573226e-19,3.43430630082074e-19,8.34825765346955e-19,3.22365693699179e-19,5.28439321221672e-19,3.85200673483975e-19,3.05593446723703e-18,3.09193882185168e-17,2.35536707412464e-17,7.53619085186989e-18,2.23581992136982e-17,1.49738689720558e-16,5.06951091475772e-17,3.5486576403304e-17,9670.46112510378,55.2887956162248,4.95276647682164e-08,1710.23613806751,1.86594164971861e+36,766.581564849765,0.000194422521772773,0.00561961664827289
Region 10,10.6458333333333,41.3502777777778,9.57587196083354e-19,5.5857909488288e-18,8.17413749618736e-19,5.03550812989166e-19,1.33834754020243e-18,3.51141030256174e-19,7.35116976795198e-19,1.00267216212909e-18,1.34523807570608e-18,2.04263108306982e-16,4.48922410680231e-16,2.86525386989694e-17,4.32359083564772e-17,2.05292306423194e-16,5.7908725574638e-17,4.05361079022466e-17,11630.6981478953,34.1788266919713,4.89257379389345e-08,19772.6293490814,3.19323628912467e+36,1932.29762295985,-0.000408504180471002,0.00643728382208592