PUB_ID,RADEG,DECDEG,PAH6.2flx,PAH7.4flx,PAH7.6flx,PAH7.7flx,PAH7.9flx,PAH8.3flx,PAH8.6flx,PAH11.23flx,PAH11.3flx,PAH12.0flx,PAH12.62flx,PAH12.7flx,PAH16.45flx,PAH17.39flx,PAH17.0flx,FUV,NUV,halpha,OIII_cont,SII_cont,irac1,irac2,irac3,irac4,mips24,mips70,pacs100,pacs160,spire250,spire350,spire500,co,hi,dust lum,dust Mass,SFR,Stellar Mass,TIR,total gas,RHI,12plogOH
Region 1,10.376708333333333,40.718833333333336,1.2005749E-15,1.4107878E-15,1.2793633E-15,3.770880579948425E-15,1.0807294E-15,4.560317E-16,4.9713777E-16,4.914503E-16,1.1779519617557527E-15,3.2241497E-16,5.4004565E-16,5.400456786155701E-16,9.371862E-17,3.8501452E-17,5.842814855277539E-16,7.986189733426297E-16,3.5629936399906284E-15,8.071258637684248E-16,1.6354166638400615E-14,8.36216741843718E-15,1.2128432622354732E-14,5.906975844000133E-15,9.750223033268909E-15,1.8474492846749038E-14,2.0933456998639156E-14,7.177185256676278E-15,2.511994554972902E-14,3.1730488450062705E-14,2.3299514431741726E-13,8.496683529133974E-14,5.947678470393782E-14,73.69387724316314,2.43010041915759E21,1.3438201227871157E7,123662.53817566934,4.104283916104903E-5,2316466,1.7509994382315127E39,2854713.755379745,1.3632773262262345,9.2
Region 2,11.345208333333332,41.64808333333333,1.1013532E-15,1.4660651E-15,1.2877974E-15,3.72015929222107E-15,9.662968E-16,3.2695856E-16,6.997312E-16,4.712781E-16,1.1295224130153656E-15,2.3180065E-16,4.770819E-16,5.136768408119679E-16,1.0849467E-16,4.469875E-17,5.085613168776036E-16,2.044685016908748E-15,6.795993746225851E-15,5.651319548543548E-16,4.28404471312189E-14,7.833507823912585E-14,1.6272973330884173E-14,7.158403308643584E-15,1.2807478577500235E-14,1.8060121701726265E-14,1.912390772873507E-14,6.556768364137736E-15,2.0544007578770773E-14,2.847479571600561E-14,1.7899083235707008E-13,6.121582827968576E-14,4.2851079795780026E-14,5.2208244054521,2.238341087673828E21,1.0249450840221552E7,72861.69285459774,4.14279659093687E-5,2907240,1.5550540047279503E39,395155.3790710181,0.8032389235496521,9.07
Region 3,10.155708333333331,41.02483333333333,8.8569947E-16,2.2164085E-15,1.6810628E-15,3.897471308708191E-15,7.148094E-16,7.45005E-16,2.5831972E-16,3.9718627E-16,6.790155768394471E-16,2.1144716E-16,4.686724E-16,4.686723947525025E-16,6.391863E-17,3.0109642E-17,4.462555702775717E-16,1.6457367854852058E-15,4.9140572033717096E-15,1.3418725173827011E-15,1.461665E-13,2.769705E-13,1.3380107892296772E-14,6.195700719466886E-15,1.2135230026891249E-14,1.2132551072718422E-14,1.9575155519090458E-14,6.711481892259591E-15,1.2830164231637072E-14,2.3410961005897845E-14,1.165976366036705E-13,3.6705603257419183E-14,2.5693922280193425E-14,25.021719825100032,1.693994519150765E21,7505330.166781875,39076.14252620881,3.4248676069961124E-5,2991976.5,1.271814827739859E39,2097755.992556133,-0.3821491741492778,8.85
Region 4,10.324416666666664,41.11938888888889,5.571926E-16,7.180664E-16,7.90367E-16,2.077025592327118E-15,5.685922E-16,2.630181E-16,4.0788064E-16,3.0579237E-16,7.003129720687866E-16,1.2206801E-16,3.0958702E-16,3.095870316028595E-16,6.181607E-17,4.0531016E-17,4.351591840386391E-16,7.855034983058229E-16,3.0292888686770757E-15,9.926580721498858E-16,1.3269585238759129E-14,7.580720605407024E-14,2.564507456099945E-14,1.1918487225477559E-14,1.5729200740510824E-14,1.166095686591934E-14,1.551035600763548E-14,5.317836345475019E-15,1.875829936680917E-14,2.3627993318677185E-14,1.296090834440168E-13,4.0791920579058694E-14,2.855434440534109E-14,32.553461647847705,8.568216510562587E20,7481230.556953836,40219.66092543186,2.7586077070657744E-5,6460171.5,1.271209572281755E39,590475.5603330298,0.3185713,8.89
Region 5,10.914874999999999,41.317527777777784,2.3830012E-16,1.662826E-15,5.97188E-16,7.900612652301789E-16,1.9287327E-16,1.1595779E-16,2.0599456E-16,1.7858802E-16,4.467480629682541E-16,8.5926854E-17,2.2063662E-16,2.2063662111759188E-16,2.984311E-17,2.152817E-17,3.313571866601706E-16,8.338607288239063E-16,4.36841791871097E-15,1.9510081402033065E-15,2.400102967502667E-13,4.355862867121463E-13,4.356091348002285E-14,1.9633141521668873E-14,1.3995869311308958E-14,1.1091644404976676E-14,1.2979258244758508E-14,4.450031398202918E-15,1.3828135415327485E-14,1.647354503753306E-14,8.479225862453644E-14,2.4457182865106782E-14,1.7120028005574746E-14,0,1.1833265723286204E21,5624751.8884556275,22223.398593104535,2.4470758536043755E-5,6798112,1.0202533537392616E39,970353.1927090845,0.540144856274128,8.93
Region 6,10.898833333333332,41.3875,2.5570869E-16,5.381169E-16,2.4810347E-16,7.862203866243363E-16,7.148094E-16,1.0022126E-16,1.251804E-16,1.4112816E-16,3.795139640569687E-16,6.604057E-17,1.5911957E-16,1.5911957621574402E-16,3.013778E-17,1.8942694E-17,2.938888929784298E-16,1.7796615891900196E-15,5.944154033124819E-15,2.644206082158496E-15,2.9063888346520995E-13,5.420469663393657E-13,5.542802074449781E-14,2.4988253035800844E-14,2.023477560813671E-14,1.0678565366095869E-14,2.7627809069818694E-14,9.472391681080693E-15,2.739447820836623E-14,2.725544715694851E-14,1.2483349836815007E-13,3.5524770786401877E-14,2.486733955048132E-14,127.60163384530027,8.488488019721852E20,8012877.654301249,33937.58813535778,4.4067393028845516E-5,1.1063526E+07,1.759392860710851E39,1691789.119688481,0.3405142346024513,8.73
Region 7,10.224916666666665,40.98302777777778,6.2271983E-16,3.8856522E-16,9.974208E-16,1.995307058095932E-15,6.0932104E-16,3.0020928E-16,4.5087315E-16,3.5038323E-16,7.687501907348634E-16,1.8378357E-16,3.7186607E-16,3.7186607718467714E-16,6.90546E-17,4.9541005E-17,4.702636897563934E-16,7.464111923070215E-16,3.4095467037798118E-15,1.1966885387414791E-15,1.663307205421361E-14,6.568881916123041E-14,2.0510243304020432E-14,9.289531933907548E-15,1.297006776015807E-14,1.0937782262930541E-14,1.664332067045824E-14,5.706281372728539E-15,2.5884022123812834E-14,2.3218923661409627E-14,1.1503810839351835E-13,3.9972993530048715E-14,2.7981095471034094E-14,3.886243679564632,7.920574255086248E20,8662758.407919109,36168.823823799394,2.7178728334974535E-5,4662206.5,1.324943797833124E39,255581.07967048907,-0.1198679053783418,8.4
Region 8,10.589999999999998,41.1215,9.452572E-17,1.662826E-15,9.95471E-17,2.1860213577747348E-16,1.1905505E-16,9.334204E-17,9.501829E-17,7.218886E-17,1.5667464584112167E-16,2.463564E-16,4.764962E-16,4.92567E-16,1.2180567E-17,2.0364907E-17,1.4584995433688165E-16,8.099315557110732E-16,4.315272862189524E-15,2.4494101324265512E-15,3.645954751375837E-13,6.291059303089436E-13,5.909589209855857E-14,2.789533943113272E-14,2.1761803617485734E-14,9.665420517014493E-15,1.850425236915954E-14,6.344315097997556E-15,1.755779089957041E-14,1.300243338571236E-14,7.878721701724706E-14,2.6003311753707913E-14,1.8202318227595534E-14,0,3.383936854168059E20,8815928.411322825,18971.649560971564,2.427035278199237E-5,2.0696018E+07,1.0552584487351666E39,1589527.5871821148,0.5802387461066245,8.94
Region 9,10.249999999999998,40.60563888888889,1.3470765E-15,1.8257628E-15,2.544693E-15,4.370455741882324E-15,7.148094E-16,8.727343E-16,5.414596E-16,5.3912546E-16,1.316202998161316E-15,5.082482E-16,8.33148E-16,8.331480026245117E-16,8.568921E-17,3.159508E-17,6.073150858283043E-16,3.180878389630224E-15,1.164370421170301E-14,4.818047399735249E-15,4.874812585307801E-14,3.7135188364063853E-14,1.3010741217256492E-14,6.6662820136845945E-15,1.1881709220875104E-14,2.2943495615879836E-14,4.1684349879067786E-14,1.429177710139467E-14,3.5250384044300884E-14,4.364428942459637E-14,2.36081012987226E-13,7.99269229842532E-14,5.5948846088977215E-14,69.83381717775248,2.2362242551114755E21,1.5246642419061128E7,87169.42094445237,7.808630682686529E-5,2696392.5,2.941880923779356E39,1208607.8267734356,0.3065304362773895,8.86
Region 10,10.64583333333333,41.35027777777778,1.323932E-15,4.738838E-15,1.5171144E-15,7.722750902175903E-15,1.4667983E-15,1.1301323E-15,6.961946E-16,8.1012317E-16,1.8503600955009463E-15,4.854773E-16,9.083083E-16,1.016351193189621E-15,1.0998616E-16,2.0138043E-17,1.386265153065324E-15,7.40457125330236E-16,9.621068980913548E-15,1.8598867479956142E-15,2.8240818863615935E-13,6.206669715798538E-13,8.175359883136312E-14,3.920073364123482E-14,3.96141604858112E-14,3.0934864329285785E-14,6.761433853587111E-14,2.3182058926584386E-14,5.977670008155047E-14,6.539114233604628E-14,2.838311277961299E-13,8.00629072538351E-14,5.6044035077684567E-14,106.78923596648275,1.1461593497663502E21,1.6080262479824306E7,47254.644344697386,6.764329175024923E-5,2.7337058E+07,4.4148749315204954E39,2671538.0771839293,-0.5647859107467192,8.9