PUB_ID,RADEG,DECDEG,PAH6.2flx,PAH7.7flx,PAH8.3flx,PAH8.6flx,PAH11.3flx,PAH12.0flx,PAH12.7flx,PAH17.0flx,halpha,OIII_cont,SII_cont,irac3,pacs100,spire250,spire350,spire500,dust.lum,dust.Mass,SFR,Stellar.Mass,TIR,total.gas,RHI,X12plogOH
Region 1,10.3767083333333,40.7188333333333,5.58272352741475e-20,1.75347525029463e-19,2.12056648930187e-20,2.31171143503459e-20,5.47752591784003e-20,1.49924310312478e-20,2.51123500573418e-20,2.71693335908375e-20,3.75316904363479e-20,7.60475592680311e-19,3.8884428440983e-19,4.53389451381763e-19,1.16808798041546e-18,1.08343717160357e-17,3.9509933985038e-18,2.76569537895266e-18,624.881980799116,5.75035977624665,1.90850919685467e-09,107.716638409285,8.14222066470412e+34,132.745384283755,6.33929661824037e-05,0.000427803850073958
Region 2,11.3452083333333,41.6480833333333,5.12133847012254e-20,1.72988963923977e-19,1.5203709867678e-20,3.25377936279207e-20,5.25232648948696e-20,1.07788272303963e-20,2.38861880644769e-20,2.36483140607523e-20,2.62788724007082e-20,1.99209871974188e-18,3.64261392027639e-18,5.9555311360808e-19,9.55304949798555e-19,8.32314860981489e-18,2.84656163299085e-18,1.9925931430936e-18,476.603753325059,3.38809920935903,1.92641775182181e-09,135.18787664011,7.23106619886461e+34,18.3748904939148,3.73509460895438e-05,0.000421758795670739
Region 3,10.1557083333333,41.0248333333333,3.98983563624652e-20,1.75570500439978e-19,3.35604524882671e-20,1.16366020225938e-20,3.05878081426481e-20,9.52512045819695e-21,2.11124188920259e-20,2.010260181331E-20,6.0447713592437e-20,-1.99412915725607e-18,-2.08383703116323e-18,5.46659164370274e-19,5.77964063479467e-19,5.25240695496234e-18,1.65348776742948e-18,1.15744143720064e-18,338.094746305113,1.76027412524156,1.54280986843307e-09,134.780417814997,5.72918048875339e+34,94.4982118511389,-1.72147827228909e-05,0.000398668471380949
Region 4,10.3244166666667,41.1193888888889,2.51000137973759e-20,9.35643636058941e-20,1.18482512850307e-20,1.83739153960094e-20,3.15471979732104e-20,5.49883242386603e-21,1.39460552145172e-20,1.96027397410243e-20,4.47165509862096e-20,5.97758786779131e-19,3.41490880872732e-18,7.08557787035429e-19,8.45010455849948e-19,5.83853730776407e-18,1.83756526801654e-18,1.28629568761158e-18,337.009124315167,1.81178652436181,1.24267787312499e-09,291.013186075003,5.72645397724743e+34,26.5993207938733,4.504728E-35,0.000400470362777021
Region 5,10.914875,41.3175277777778,1.04094853621892e-20,3.45116535218122e-20,5.06529714561962e-21,8.99830582129213e-21,1.95149604710834e-20,3.75347829842458e-21,9.63790399218627e-21,1.44744273909524e-20,8.52244248847142e-20,1.04841897301462e-17,1.90273889727813e-17,6.11371059012409e-19,6.04044065073161e-19,3.70391661984508e-18,1.06834477059732e-18,7.47841339418126e-19,245.701816888826,0.970768048094221,1.06893778644599e-09,296.956826352093,4.45669618272678e+34,42.3872105295575,2.3594742524038e-05,0.000390082490450907
Region 6,10.8988333333333,41.3875,1.13417356268321e-20,3.48721186187257e-20,4.44522646104833e-21,5.55226731817794e-21,1.68330104347459e-20,2.9291718071267e-21,7.05760983912018e-21,1.30351851860166e-20,1.1728145150915e-19,1.28910338523891e-17,2.40420198060044e-17,8.97495800458551e-19,1.21505815650733e-18,5.5368807992569e-18,1.57567018337616e-18,1.10296912836332e-18,355.404190468597,1.50527208302362,1.95457073240988e-09,490.713033618777,7.80363338059349e+34,75.0378289132754,1.51032114944318e-05,0.000387211525827473
Region 7,10.2249166666667,40.9830277777778,2.80518375960118e-20,8.98831655126242e-20,1.35236129663249e-20,2.0310611242623e-20,3.46301088603481e-20,8.2789508380603e-21,1.67515571242537e-20,2.1184102411429e-20,5.39075695434087e-20,7.49274735618364e-19,2.95910295161891e-18,5.84266337587519e-19,1.16600491901595e-18,5.18215444336722e-18,1.800674827926E-18,1.2604723795482e-18,390.233746037014,1.62930731135378,1.22432791857428e-09,210.019744476534,5.96851207398645e+34,11.5132337114267,-5.39972368416043e-06,0.000378397193175138
Region 8,10.59,41.1215,4.25812703938798e-21,9.84743269051029e-21,4.20480546919541e-21,4.28031598051206e-21,7.05776740809396e-21,4.50472849018022e-65,4.50472849018022e-65,6.57014444592834e-21,1.1033927607678e-19,1.64240362424307e-17,2.83395140760403e-17,9.80310167533949e-19,7.90930808899217e-19,3.54915021159604e-18,1.17137859295966e-18,8.19965015071762e-19,397.133638818751,0.854621302830236,1.09331349643766e-09,932.299419178826,4.75365279852068e+34,71.6039020790669,2.61381801069296e-05,0.000402722727022111
Region 9,10.25,40.6056388888889,5.97484017149292e-20,1.93847747580263e-19,3.87093676912911e-20,2.40159676849866e-20,5.83790345036355e-20,2.25429050425048e-20,3.69535520431098e-20,2.69369302453174e-20,2.13700284669024e-19,2.16218054900344e-18,1.64709884860708e-18,5.27002835836587e-19,1.5634999990605e-18,1.04711671543733e-17,3.54508886637201e-18,2.4815622064604e-18,676.251509144391,3.86632353830455,3.46344994417672e-09,119.596134496535,1.30484559140818e+35,53.6067446428371,1.35958897988006e-05,0.000392977562294549
Region 10,10.6458333333333,41.3502777777778,6.69636926420884e-20,3.90612144554794e-19,5.71614191530203e-20,3.52131085384156e-20,9.35901124168845e-20,2.45551529095988e-20,5.14064384856394e-20,7.01164664275083e-20,9.4071964830423e-20,1.42840381102962e-17,3.13929660420393e-17,2.00366066160968e-18,3.02346991493464e-18,1.4356009526167e-17,4.04953420068239e-18,2.83467394047768e-18,813.330106306865,2.39011178807485,3.42135743985552e-09,1382.6921244074,2.23301746590912e+35,135.124806018874,-2.85665352418593e-05,0.000450156703300915