PUB_ID,RADEG,DECDEG,PAH6.2flx,PAH7.7flx,PAH8.3flx,PAH8.6flx,PAH11.3flx,PAH12.0flx,PAH12.7flx,PAH17.0flx,irac3,pacs100,spire250,spire350,spire500,SFR,Stellar.Mass
Region 1,10.3767083333333,40.7188333333333,7.98334792810634E-19,2.50748634383975E-18,3.03243031929604E-19,3.30576941606301E-19,7.83291434236347E-19,2.14393194688642E-19,3.5910900265018E-19,3.88524063506483E-19,6.48351242818937E-18,1.67037696072584E-17,1.54932549618128E-16,5.64995826983281E-17,3.95497078888297E-17,2.72918636713097E-8,1540.35821018987
Region 2,11.3452083333333,41.6480833333333,7.32356289252198E-19,2.47375869492013E-18,2.1741450221495E-19,4.65293554425581E-19,7.51087701041884E-19,1.54138258172081E-19,3.41574769122063E-19,3.38173148165087E-19,8.51646636673421E-18,1.36609519605133E-17,1.19021819517287E-16,4.07061030397973E-17,2.84942721278581E-17,2.75479577166088E-8,1933.19953886325
Region 3,10.1557083333333,41.0248333333333,5.70550304053184E-19,2.51067491349184E-18,4.79917673735474E-19,1.66404519570203E-19,4.3740857587122E-19,1.36210131670489E-19,3.01909605215609E-19,2.87469124608707E-19,7.81727822598576E-18,8.26494127112079E-18,7.51099207681662E-17,2.36450328901925E-17,1.65515230231347E-17,2.20623283709714E-8,1927.37283877451
Region 4,10.3244166666667,41.1193888888889,3.58932592955242E-19,1.33797932974769E-18,1.69431124223763E-19,2.62748743848077E-19,4.51127942016534E-19,7.86338284933907E-20,1.99429920638808E-19,2.80321049266046E-19,1.01324439823951E-17,1.20837301700696E-17,8.3491640756021E-17,2.62773587177322E-17,1.83941511024125E-17,1.77704121921834E-8,4161.51633641681
Region 5,10.914875,41.3175277777778,1.48856634205151E-19,4.93519939301866E-19,7.24342326360042E-20,1.28676632081306E-19,2.79065797327862E-19,5.36750979155084E-20,1.37822946971079E-19,2.06985693191934E-19,8.74266449574854E-18,8.63788778309762E-18,5.29663611814429E-17,1.52774321869401E-17,1.06942025308581E-17,1.52859123701761E-8,4246.51095966568
Region 6,10.8988333333333,41.3875,1.621879019675E-19,4.98674624592062E-19,6.35671626644341E-20,7.9397952582106E-20,2.40713655831442E-19,4.18874364146085E-20,1.00924494307914E-19,1.86404392293913E-19,1.28342756073986E-17,1.73754476084067E-17,7.917792389298E-17,2.25322340109867E-17,1.57725638076907E-17,2.79505480260592E-8,7017.24321650112
Region 7,10.2249166666667,40.9830277777778,4.01143955010436E-19,1.28533784566462E-18,1.93388956169961E-19,2.90443679301193E-19,4.95213861948816E-19,1.18389787162772E-19,2.39548865717151E-19,3.02934686384855E-19,8.35506439238197E-18,1.6673981630429E-17,7.41053031471555E-17,2.57498219034558E-17,1.80248753324191E-17,1.750800609071E-08,3003.30239119792
Region 8,10.59,41.1215,6.08916230771213E-20,1.40819227355429E-19,6.01291195341287E-20,6.12089270530032E-20,1.00926747559279E-19,1.58697982426757E-19,3.17302043340462E-19,9.39536926594873E-20,1.40185289607345E-17,1.13103860570811E-17,5.07531867719131E-17,1.67508256807106E-17,1.17255779764974E-17,1.56344873495789E-8,13331.9706769048
Region 9,10.25,40.6056388888889,8.54407847166724E-19,2.77204129205663E-18,5.53547652573226E-19,3.43430630082074E-19,8.34825765346955E-19,3.22365693699179E-19,5.28439321221672E-19,3.85200673483975E-19,7.53619085186989E-18,2.23581992136982E-17,1.49738689720558E-16,5.06951091475772E-17,3.5486576403304E-17,4.95276647682164E-8,1710.23613806751
Region 10,10.6458333333333,41.3502777777778,9.57587196083354E-19,5.5857909488288E-18,8.17413749618736E-19,5.03550812989166E-19,1.33834754020243E-18,3.51141030256174E-19,7.35116976795198E-19,1.00267216212909E-18,2.86525386989694E-17,4.32359083564772E-17,2.05292306423194E-16,5.7908725574638E-17,4.05361079022466E-17,4.89257379389345E-8,19772.6293490814